german word	german sentence	english translation
wenigstens	Ich habe keinen Hunger. - Ach, essen Sie wenigstens ein Stück Kuchen. 	I'm not hungry. - Oh, at least eat a piece of cake.
wenn	Wenn ich nicht arbeiten muss, komme ich. 	If I don't have to work, I'll come.
wer (wen, wem)	Wer ist das? 	Who is that?
werden, wird	Mein Sohn will Arzt werden. 	My son wants to become a doctor.
werden, wird (2)	Das Wetter am Wochenende wird gut. Das haben sie im Radio gesagt. 	The weather will be good on the weekend. They said so on the radio.
die Werkstatt, ¨-en	Mein Auto ist kaputt. Es ist in der Werkstatt. 	My car is broken. It is in the workshop.
der Wettbewerb, -e	Mein Sohn hat bei einem Wettbewerb gewonnen. 	My son won a competition.
das Wetter (Sg.)	Heute ist das Wetter gut: Es ist sonnig und warm. 	The weather is good today: It's sunny and warm.
das Wetter (Sg.) (2)	Wir hatten im Urlaub schlechtes Wetter. 	We had bad weather on vacation.
wichtig	Es ist wichtig, dass Sie auch kommen. 	It is important that you come as well.
wichtig (2)	Morgen habe ich einen wichtigen Termin. 	I have an important appointment tomorrow.
wie	Wie heißt du? 	What is your name?
wie (2)	Wie bitte? Können Sie das bitte wiederholen? 	Pardon? Can you please repeat that?
wie (3)	Er schreibt wie ein Kind. 	He writes like a child.
wie (4)	Meine Frau ist so groß wie ich. 	My wife is as tall as I am.
wie (5)	Wie groß ist die Wohnung? 	How big is the apartment?
wie (6)	Wie soll ich das machen? 	How should I do that?
wie (7)	Wie lange bist du schon hier? 	How long have you been here?
wie viel, -e	Wie viel kostet diese Hose? 	How much does these pants cost?
wie viel, -e (2)	Wie viele Kinder haben Sie? 	How many children do you have?
wieder	Stefan kann wieder zum Fußballtraining kommen. 	Stefan can come back to soccer practice.
wieder (2)	Geht es dir wieder besser? 	Are you feeling better again?
wieder (3)	Du kommst schon wieder zu spät. 	You're late again.
wieder (4)	Wann kommst du wieder? 	When will you come back?
wiederholen, wiederholt	Können Sie das bitte wiederholen? 	Can you please repeat that?
wiederholen, wiederholt (2)	Er hat alles wiederholt. 	He repeated everything.
das Wiederhören, -	Wir müssen jetzt Schluss machen. Also auf Wiederhören! 	We have to finish now. So, goodbye!
das Wiedersehen, -	Auf Wiedersehen! 	Goodbye!
willkommen	Herzlich willkommen in Berlin! 	Welcome to Berlin!
der Wind, -e	Der Wind ist kalt. 	The wind is cold.
windig	Heute ist es sehr windig. 	Today it is very windy.
wirklich	Du glaubst mir nicht? Es ist aber wirklich so. 	You don't believe me? But it is really so.
wissen, weiß	Weißt du, wie der Hausmeister heißt? 	Do you know what the janitor's name is?
wissen, weiß (2)	Woher wissen Sie das? 	How do you know that?
der Witz, -e	Wir haben Witze erzählt und viel gelacht. 	We told jokes and laughed a lot.
witzig	Warum lachst du? Ich finde das nicht witzig. 	Why are you laughing? I don't find that funny.
wo	Wo waren Sie im Urlaub? - In Frankreich. 	Where were you on vacation? - In France.
wo (2)	Wo ist meine Uhr? 	Where is my watch?
wo (3)	Wo sind Sie geboren? 	Where were you born?
woher	Woher kommen Sie? 	Where are you from?
woher (2)	Woher wissen Sie das? 	How do you know that?
wohin	Wohin fährt dieser Bus? - Nach Dresden. 	Where is this bus going? - To Dresden.
wohin (2)	Wohin wollen Sie am Wochenende gehen? 	Where do you want to go on the weekend?
wohnen, wohnt	Ich wohne in Kiel. 	I live in Kiel.
wohnen, wohnt (2)	Er hat früher in Hamburg gewohnt. 	He used to live in Hamburg.
die Wohnung, -en	Haben Sie schon eine neue Wohnung gefunden? 	Have you found a new apartment yet?
die Wohnung, -en (2)	Meine Wohnung ist sehr hell. 	My apartment is very bright.
das Wohnzimmer, -	Die Kinder sitzen im Wohnzimmer und sehen fern. 	The children are sitting in the living room watching TV.
die Wolke, -n	Heute gibt es viele Wolken. 	There are many clouds today.
wollen, will	Wollen Sie einen Kaffee trinken? 	Would you like to drink a coffee?
wollen, will (2)	Ich wollte dich anrufen, aber du warst nicht erreichbar. 	I wanted to call you, but you were not reachable.
der Workshop, -s	Das war ein toller Workshop. Ich habe viel gelernt. 	That was a great workshop. I learned a lot.
der Workshop, -s (2)	Am Freitag gibt es einen Computer-Workshop in meiner Firma. 	On Friday, there is a computer workshop at my company.
das Wort, ¨-er	Ich kenne das Wort nicht. 	I don't know the word.
das Wort, ¨-er (2)	Ich muss das Wort im Wörterbuch suchen. 	I need to look up the word in the dictionary.
wunderbar	Diese Schokolade schmeckt wunderbar. 	This chocolate tastes wonderful.
wunderbar (2)	Wir hatten im Urlaub wunderbares Wetter. 	We had wonderful weather on vacation.
der Wunsch, ¨-e	Ich wünsche Ihnen alles Gute! 	I wish you all the best!
der Wunsch, ¨-e (2)	Sie wünschen? – Ich möchte ein halbes Kilo Äpfel, bitte. 	What can I get for you? – I would like half a kilo of apples, please.
der Wunsch, ¨-e (3)	Haben Sie noch einen Wunsch? 	Do you have any other wish?
der Wunsch, ¨-e (4)	Was ist dein größter Wunsch? 	What is your biggest wish?
wünschen	Ich wünsche mir eine Kamera zum Geburtstag. 	I wish for a camera for my birthday.
die Wurst, ¨-e	Eine Wurst mit Pommes, bitte. 	A sausage with fries, please.

