german word	german sentence	english translation
die Meinung, -en	Meine Meinung zu dem Thema ist: …	My opinion on the topic is: …
die Meinung, -en(2)	Was ist deine Meinung dazu?	What’s your opinion on that?
die Meinung, -en(3)	Ich habe meine Meinung geändert.	I changed my opinion.
meist-	Ich bin neu hier im Haus. Die meisten Nachbarn kenne ich noch nicht.	I’m new here in the house. I don’t know most of the neighbors yet.
meistens	Meistens trinke ich zum Frühstück nur einen Kaffee.	I usually just drink a coffee for breakfast.
die Menge, -n	Wir haben noch eine Menge Zeit.	We still have plenty of time.
die Menge, -n(2)	Ich kenne eine Menge Leute in dieser Stadt.	I know a lot of people in this city.
der Mensch, -en	Die Menschen sind hier ein bisschen anders als im Süden.	The people here are a bit different from those in the south.
merken, merkt, hat gemerkt	Ich kann mir keine Zahlen merken. Ich vergesse sie sofort.	I can’t remember numbers. I forget them immediately.
merken, merkt, hat gemerkt(2)	Merkst du, dass es wärmer wird?	Do you notice that it’s getting warmer?
die Messe, -n	Kommst du mit zur Buchmesse nach Frankfurt?	Will you come with me to the book fair in Frankfurt?
das Messer, -	Das Messer schneidet nicht gut.	The knife doesn’t cut well.
das Messer, - (2)	Ich habe nur ein Messer. Kannst du mir bitte noch eine Gabel bringen?	I only have one knife. Can you please bring me a fork?
die Miete, -n	Wie viel Miete bezahlst du für deine Wohnung?	How much rent do you pay for your apartment?
mieten, mietet, hat gemietet	Ich möchte ein Auto mieten.	I would like to rent a car.
die Milch (Sg.)	Die Milch steht im Kühlschrank.	The milk is in the fridge.
mindestens	Bitte kommen Sie mindestens zwei Stunden vor Ihrem Flug zum Flughafen.	Please come to the airport at least two hours before your flight.
mindestens(2)	Schreiben Sie mindestens sieben Sätze!	Write at least seven sentences!
mindestens(3)	Ich warte schon mindestens 20 Minuten. Wann kommst du denn endlich?	I’ve been waiting for at least 20 minutes. When are you coming?
das Mineralwasser (Sg.)	Ein Glas Mineralwasser, bitte.	A glass of mineral water, please.
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)	Trinken Sie den Kaffee mit oder ohne Zucker?	Do you take your coffee with or without sugar?
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(2)	Fahren wir mit dem Auto oder mit dem Zug nach Hamburg?	Should we go to Hamburg by car or by train?
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(3)	Ich komme mit meinem Freund.	I’m coming with my friend.
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(4)	Ich gehe einkaufen. Soll ich dir was mitbringen?	I’m going shopping. Should I bring you something?
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(5)	Ich gehe ins Kino. Kommst du mit?	I’m going to the cinema. Are you coming with me?
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(6)	Wir organisieren ein Fest. Möchtest du auch mitmachen?	We are organizing a party. Would you like to join in?
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(7)	Wir fahren am Wochenende in die Berge. Ich muss mein Zelt mitnehmen.	We’re going to the mountains this weekend. I need to take my tent with me.
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)(8)	Warum spielt ihr nicht mit?	Why don’t you join in?
der Mitarbeiter, -	Unsere Firma hat sieben Mitarbeiter.	Our company has seven employees.
das Mittagessen, -	Um zwölf Uhr gibt es Mittagessen.	Lunch is at twelve o’clock.
die Mitte, -n	Den Schrank stellen wir an die Wand, den Tisch in die Mitte.	We’ll place the cupboard against the wall, the table in the center.
die Mitte, -n(2)	Ich habe bis Mitte August frei.	I’m off until mid-August.
das Mittel, -	Haben Sie ein Mittel gegen Magenschmerzen?	Do you have something for stomach aches?
das Mittel, - (2)	Das neue Waschmittel ist sehr gut.	The new detergent is very good.
die Möbel (Pl.)	Eure Möbel sind sehr schön.	Your furniture is very nice.
das Mobiltelefon, -e	Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?	How can I reach you? Do you have a mobile phone?
möchten, möchte, hat gemocht	Was möchten Sie trinken?	What would you like to drink?
möchten, möchte, hat gemocht(2)	Ich möchte einen Kaffee, bitte.	I would like a coffee, please.
die Mode, -n	Wie findest du die neue Mode?	What do you think of the new fashion?
modern	Das Stadtzentrum von Frankfurt ist sehr modern.	The city center of Frankfurt is very modern.
mögen, mag, hat gemocht	Magst du Schokolade? - Nein, ich mag keine Süßigkeiten.	Do you like chocolate? - No, I don’t like sweets.
möglich	Kann ich bitte sofort einen Termin haben? - Das ist leider nicht möglich.	Can I have an appointment right away? - Unfortunately, that’s not possible.
der Moment, -e	Einen Moment, bitte.	A moment, please.
der Moment, -e(2)	Warten Sie bitte einen Moment.	Please wait a moment.
der Moment, -e(3)	Ich habe im Moment sehr viel zu tun.	I’m very busy at the moment.
morgen	Morgen beginnt die Schule erst um zehn Uhr.	School starts at ten o’clock tomorrow.
der Motor, -en	Der Motor ist kaputt. Das Auto fährt nicht mehr.	The engine is broken. The car doesn’t run anymore.
der Motorroller, -	Oskar fährt mit dem Motorroller zur Arbeit.	Oskar goes to work on his scooter.
müde	Ich bin müde. Ich gehe schlafen.	I’m tired. I’m going to bed.
der Müll (Sg.)	Bringst du bitte den Müll raus?	Can you please take out the trash?
der Müll (Sg.)(2)	Kann ich die Zeitungen wegwerfen? - Ja, sie sind alt. Bring/Wirf sie bitte in den Müll!	Can I throw away the newspapers? - Yes, they are old. Please throw them in the trash!
der Mund, ¨-er	Öffnen Sie bitte den Mund. Ich möchte in Ihren Hals sehen.	Please open your mouth. I’d like to look in your throat.
das Museum, -een	Im Kunstmuseum gibt es eine neue Ausstellung.	There is a new exhibition at the art museum.
die Musik (Sg.)	Wie findest du die Musik?	How do you find the music?
die Musik (Sg.)(2)	Spanische Musik gefällt mir gut.	I like Spanish music.
müssen, muss, musste	Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.	I have to work every day from 8 am to 6 pm.
die Mütze, -n	Haben Sie rote Mützen?	Do you have red hats?
