german word	german sentence	english translation
heiraten, heiratet, hat geheiratet	Meine Schwester heiratet nächsten Monat.	My sister is getting married next month.
heiß	Vorsicht, der Tee ist heiß!	Be careful, the tea is hot!
heiß(2)	Mir ist heiß. Kannst du das Fenster öffnen?	I’m hot. Can you open the window?
heißen, heißt, hat geheißen	Ich heiße Charlotte Meier.	My name is Charlotte Meier.
heißen, heißt, hat geheißen(2)	Wie heißt das auf Deutsch?	What is that called in German?
die Heizung, -en	Es ist kalt. Ist die Heizung kaputt?	It’s cold. Is the heating broken?
helfen, hilft, hat geholfen	Würden Sie mir bitte helfen?	Could you please help me?
hell	Im Sommer ist es bis 21 Uhr hell.	In summer, it’s light until 9 p.m.
hell(2)	Mein Zimmer ist sehr hell.	My room is very bright.
hell(3)	Haben Sie das T-Shirt auch in hellblau?	Do you have this T-shirt in light blue?
das Hemd, -en	Nick trägt heute ein neues Hemd.	Nick is wearing a new shirt today.
her/her-/-her	Komm bitte mal her!	Come here, please!
her/her-/-her(2)	Herein! Die Tür ist offen.	Come in! The door is open.
her/her-/-her(3)	Woher kommen Sie?	Where are you from?
heraus/raus	Möchtet ihr nicht rauskommen? Das Wetter ist so schön.	Don’t you want to come outside? The weather is so nice.
heraus/raus(2)	Kannst du bitte den Müll rausbringen?	Could you please take out the trash?
herein/rein	Herein! Die Tür ist offen.	Come in! The door is open.
herein/rein(2)	Möchtest du nicht reinkommen? Ich kann uns einen Tee machen.	Would you like to come in? I can make us some tea.
der Herd, -e	In der neuen Küche fehlt noch der Herd.	The new kitchen still needs the stove.
der Herr, -en	Guten Tag, Herr Sommer!	Good day, Mr. Sommer!
herstellen, stellt her, hat hergestellt	In unserer Firma stellen wir Möbel her.	In our company, we manufacture furniture.
herunterladen, lädt herunter, hat heruntergeladen	Er lädt die Musik aus dem Internet herunter.	He is downloading the music from the internet.
herzlich	Herzlichen Glückwunsch!	Congratulations!
heute	Heute ist ein schöner Tag.	Today is a beautiful day.
heute(2)	Heute muss ich nur bis 16 Uhr arbeiten.	Today I only have to work until 4 p.m.
hier	Elektro Bauer, guten Tag. Hier ist Pamela Linke.	Electro Bauer, good day. This is Pamela Linke.
hier(2)	Was kann ich für Sie tun?	How can I help you?
hier(3)	Hier wohne ich.	This is where I live.
hier(4)	Unterschreiben Sie bitte hier!	Please sign here!
die Hilfe (Sg.)	Hilfe! Bitte helfen Sie mir!	Help! Please help me!
die Hilfe (Sg.)(2)	Er bekommt Hilfe von Freunden.	He is getting help from friends.
der Himmel (Sg.)	Heute ist so tolles Wetter: Der Himmel ist blau und es gibt keine Wolken.	Today the weather is so nice: The sky is blue and there are no clouds.
hin/hin-/-hin	Wo gehst du hin?/Wohin gehst du?	Where are you going?/Where are you headed?
hin/hin-/-hin(2)	Wohin ist Paul gegangen? – Ich glaube dorthin.	Where did Paul go? – I think he went there.
hin/hin-/-hin(3)	Er geht in den Garten hinaus.	He is going out into the garden.
hin/hin-/-hin(4)	Wir gehen ins Haus hinein.	We are going into the house.
hinten	Die Tür zum Aussteigen ist hinten.	The door to exit is at the back.
hinten(2)	Bitte hinten aussteigen!	Please exit at the back!
hinter	Hinter dem Haus haben wir einen Garten.	Behind the house, we have a garden.
das Hobby, -s	Meine Hobbys sind Joggen und Schwimmen.	My hobbies are jogging and swimming.
hoch	Der Mount Everest ist circa 8.880 Meter hoch.	Mount Everest is about 8,880 meters high.
hoch(2)	Die Preise in diesem Laden sind sehr hoch.	The prices in this store are very high.
die Hochzeit, -en	Zu seiner Hochzeit kommen mehr als einhundert Gäste.	More than a hundred guests are coming to his wedding.
hoffen, hofft, hat gehofft	Ich hoffe, dass es dir gut geht.	I hope that you are doing well.
hoffentlich	Hoffentlich hat unser Zug keine Verspätung.	Hopefully, our train isn’t delayed.
holen, holt, hat geholt	Soll ich uns etwas zu trinken holen?	Should I get us something to drink?
die Homepage, -s	Auf der Homepage von Freiburg gibt es alle wichtigen Informationen über die Stadt.	The homepage of Freiburg has all the important information about the city.
die Homepage, -s	Kennst du eine Homepage mit Deutschübungen?	Do you know a website with German exercises?
hören, hört, hat gehört	Hör mal! Was ist das?	Listen! What is that?
hören, hört, hat gehört(2)	Ich habe das Lied schon mal gehört.	I have heard that song before.
die Hose, -n	Kann ich die Hose waschen?	Can I wash the pants?
das Hotel, -s	Im Urlaub sind wir in einem Hotel am Meer.	On vacation, we’re staying in a hotel by the sea.
der Hund, -e	Magst du Hunde?	Do you like dogs?
der Hund, -e(2)	Meine Tochter hat Angst vor Hunden.	My daughter is afraid of dogs.
der Hunger (Sg.)	Ich habe Hunger! Wann können wir endlich essen?	I’m hungry! When can we eat?
husten, hustet, hat gehustet	Sie hustet seit zwei Tagen. Sie ist krank.	She has been coughing for two days. She is ill.
