german word	german sentence	english translation
der Zirkus, -se	Heute gehen wir mit den Kindern in den Zirkus.	Today we are going to the circus with the children.
die Zitrone, -n	Ich trinke den Tee mit Zitrone.	I drink tea with lemon.
die Zitrone, -n (2)	Lucia mag Zitroneneis.	Lucia likes lemon ice cream.
der Zoo, -s	Am Sonntag gehen wir in den Zoo.	On Sunday, we are going to the zoo.
zu	Der Bus fährt zum Bahnhof.	The bus goes to the train station.
zu (2)	Ich gehe zu Fuß.	I go on foot.
zu (3)	Ich bin zu Hause.	I am at home.
zu (4)	Das Kleid ist mir zu teuer.	The dress is too expensive for me.
zu (5)	Ich trinke zum Essen ein Bier.	I drink beer with my meal.
der Zucker (Sg.)	Trinken Sie den Tee mit oder ohne Zucker?	Do you drink tea with or without sugar?
zuerst	Zuerst müsst ihr die Hausaufgaben machen, dann könnt ihr spielen.	First you have to do your homework, then you can play.
zuerst (2)	Zuerst hat mir die Arbeit gar nicht gefallen. Jetzt geht es besser.	At first I didn't like the work at all. Now it's getting better.
zufrieden	Ich bin mit der Wohnung zufrieden. Sie ist nicht groß, aber sie hat einen Balkon.	I am satisfied with the apartment. It is not big, but it has a balcony.
der Zug, ¨-e	Ich fahre gern mit dem Zug.	I like traveling by train.
zuhören, hört zu	Hör mir doch mal zu! Ich rede mit dir.	Listen to me! I am talking to you.
zuhören, hört zu (2)	Er hat mir nicht zugehört.	He didn’t listen to me.
zuletzt	Wir haben uns vor drei Jahren zuletzt gesehen.	We last saw each other three years ago.
zuletzt (2)	Diese Aufgabe machen wir zuletzt.	We will do this task last.
zum Beispiel	Mein Freund hat viele Hobbys, zum Beispiel Kochen, Lesen und Tanzen.	My friend has many hobbies, for example, cooking, reading, and dancing.
zumachen, macht zu	Machst du bitte das Fenster zu?	Can you please close the window?
zumachen, macht zu (2)	Er hat die Tür zugemacht.	He closed the door.
zurück	Eine Fahrkarte nach Frankfurt und zurück, bitte.	A ticket to Frankfurt and back, please.
zurück- (fahren, geben, gehen, kommen, laufen)	Fahrt ihr nach der Party zurück nach Hause?	Are you driving back home after the party?
zurück- (fahren, geben, gehen, kommen, laufen) (2)	Wann muss ich das Buch zurückgeben?	When do I have to return the book?
zurück- (fahren, geben, gehen, kommen, laufen) (3)	Wir gehen wieder zurück.	We are going back again.
zurück- (fahren, geben, gehen, kommen, laufen) (4)	Wann kommst du zurück?	When are you coming back?
zurück- (fahren, geben, gehen, kommen, laufen) (5)	Ich habe mein Buch vergessen. Ich laufe schnell nach Hause zurück.	I forgot my book. I’ll quickly run back home.
zusammen	Wollen wir zusammen essen gehen?	Shall we go out to eat together?
zusammen (2)	Zahlen, bitte. – Zusammen oder getrennt?	The bill, please. – Together or separate?
zusammen (3)	Das macht zusammen 10 Euro 80.	That will be 10 euros 80 altogether.
zwischen	Heidelberg liegt zwischen Frankfurt und Stuttgart.	Heidelberg is between Frankfurt and Stuttgart.
zwischen (2)	Zwischen acht und zehn Uhr bin ich zu Hause.	I’ll be at home between eight and ten o'clock.

