die Anmeldung	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	Registration for this course is no longer possible.
die Anrede	Schreiben Sie auch eine Anrede und einen Gruß.	Also, write a salutation and a closing.
anrufen(1)	Kann man Sie anrufen?	Can one call you?
anrufen(2)	Peter ruft kurz seine Freundin an.	Peter quickly calls his girlfriend.
der Anruf, -e	Sie bekommt viele Anrufe auf ihrem Handy.	She receives many calls on her cell phone.
der Anrufbeantworter	Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.	We are not available at the moment. Please leave a message on the answering machine.
die Ansage, -n	Hören Sie die Ansagen.	Listen to the announcements.
der Anschluss(1)	In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim, you have a connection to Saarbrücken.
der Anschluss(2)	Ist das die Anmeldung für einen Telefonanschluss?	Is this the registration for a telephone connection?
an sein	Heute Nacht war das Licht an.	The light was on last night.
antworten	Er antwortet nicht.	He does not answer.
die Antwort, -en	Er gibt leider keine Antwort.	Unfortunately, he gives no answer.
die Anzeige, -n	Ich habe Ihre Anzeige in der Zeitung gelesen.	I read your advertisement in the newspaper.
(sich) anziehen	Ich muss mich noch anziehen.	I still need to get dressed.
das Apartment, -s	Wir haben ein Apartment gemietet.	We rented an apartment.
der Apfel, -Ä	Ein Pfund Äpfel bitte.	A pound of apples, please.
der Appetit	Guten Appetit!	Enjoy your meal!
arbeiten	Wo arbeiten Sie?	Where do you work?
die Arbeit, -en	Mein Bruder sucht Arbeit.	My brother is looking for work.
arbeitslos	Es gibt bei uns viele Leute, die schon lange arbeitslos sind.	There are many people here who have been unemployed for a long time.
der Arbeitsplatz, -ä, e	An meinem Arbeitsplatz fehlt ein Drucker.	A printer is missing at my workplace.
der Arm, -e	Mein Arm tut weh.	My arm hurts.
der Arzt, -Ä, e	Morgen habe ich einen Termin bei meiner Ärztin.	I have an appointment with my doctor tomorrow.
auch	Ich bin auch Spanier.	I am also Spanish.
auf(1)	Die Kinder spielen auf der Straße.	The children are playing on the street.
auf(2)	Auf Wiedersehen.	Goodbye.
auf sein	Du brauchst den Schlüssel nicht. Die Wohnung ist auf.	You don't need the key. The apartment is unlocked.
aufstehen(1)	Ich muss immer um vier Uhr aufstehen.	I always have to get up at four o'clock.
aufstehen(2)	Soll ich aufstehen?	Should I get up?
der Aufzug, -ü, e	In diesem Haus gibt es keinen Aufzug.	There is no elevator in this building.
das Auge, -n	Er hat blaue Augen.	He has blue eyes.
aus	Er kommt aus Brasilien.	He comes from Brazil.
der Ausflug	Morgen machen wir einen Ausflug nach Heidelberg.	Tomorrow we are going on a trip to Heidelberg.
ausfüllen	Füllen Sie bitte dieses Formular aus.	Please fill out this form.
der Ausgang	Wo ist der Ausgang?	Where is the exit?
die Auskunft, -ü, e	Können Sie mir eine Auskunft geben?	Can you give me information?
das Ausland	Fahren Sie ins Ausland?	Are you going abroad?
der Ausländer, -	Sind Sie Ausländerin?	Are you a foreigner?
ausländisch	Leider habe ich nur ausländisches Geld.	Unfortunately, I only have foreign money.
ausmachen	Mach bitte das Licht aus!	Please turn off the light.
die Aussage, -n	Ist die Aussage richtig oder falsch?	Is the statement correct or incorrect?
aussehen	Das sieht schön aus.	That looks nice.
aus sein(1)	Das Licht ist aus.	The light is off.
aus sein(2)	Die Schule ist aus.	The school is over.
aussteigen	Wo muss ich aussteigen?	Where do I need to get off?
der Ausweis	Hier ist mein Ausweis.	Here is my ID.
(sich) ausziehen	Zieh die Schuhe aus, bitte!	Take off your shoes, please!
das Auto, -s	Er kommt mit dem Auto.	He comes by car.
die Autobahn, -en	Wo geht‘s hier bitte zur Autobahn?	Where is the motorway, please?
der Automat	Die Fahrkarten gibt es nur am Automaten.	Tickets are only available at the vending machine.
automatisch	Du musst nichts machen. Das geht automatisch.	You don't have to do anything. It happens automatically.

das Baby, -s	Mein Kind ist noch ein Baby.	My child is still a baby.
die Bäckerei	Ich geh mal schnell zur Bäckerei.	I'll quickly go to the bakery.
das Bad	Wir haben kein großes Bad.	We don't have a big bathroom.
baden	Ich bade nicht so gern, ich dusche lieber.	I don't like bathing much; I prefer showering.
die Bahn(1)	Wir fahren lieber mit der Bahn.	We prefer traveling by train.
die Bahn(2)	Ich nehme die nächste Bahn.	I'll take the next train.
der Bahnhof	Komme ich hier zum Bahnhof?	Am I here for the train station?
der Bahnsteig	Auf welchem Bahnsteig fährt der Zug?	On which platform does the train depart?
bald	Ich komme bald.	I'll come soon.
der Balkon	Die Wohnung hat auch einen kleinen Balkon.	The apartment also has a small balcony.
die Banane, -n	Drei Bananen, bitte!	Three bananas, please!
die Bank(1)	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock.
die Bank(2)	Er sitzt im Park auf einer Bank und liest.	He sits on a bench in the park and reads.
bar	Muss ich bar zahlen oder geht‘s auch mit Karte?	Do I have to pay in cash or can I use a card?
der Bauch	Seit gestern tut mir der Bauch weh.	My stomach has been hurting since yesterday.
der Baum, -ä, e	Vorsicht, fahr nicht an den Baum!	Careful, don’t drive into the tree!
der Beamte, -n	Fragen Sie die Beamtin am Schalter acht!	Ask the female official at counter eight!
bedeuten	Was bedeutet das Wort?	What does the word mean?
beginnen	Das Spiel beginnt um 15.30 Uhr.	The game starts at 3:30 PM.
bei(1)	Offenbach liegt bei Frankfurt.	Offenbach is near Frankfurt.
bei(2)	Ich wohne bei meinen Eltern.	I live with my parents.
bei(3)	Bei uns regnet es heute.	It’s raining here today.
bei(4)	Er arbeitet bei der Polizei.	He works at the police station.
beide	Beide Eltern arbeiten.	Both parents work.
beide	Wir kommen beide.	We are both coming.
das Bein, -e	Mein rechtes Bein tut weh.	My right leg hurts.
das Beispiel, -e	Kannst du mir ein Beispiel sagen?	Can you give me an example?
zum Beispiel/z. B.	Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.	Many of my relatives, e.g., my two brothers, also work here.
bekannt	Picasso ist sehr bekannt.	Picasso is very well known.
der/die Bekannte	Ein Bekannter von mir heißt Klaus.	A friend of mine is named Klaus.
bekommen(1)	Haben Sie meinen Brief bekommen?	Did you receive my letter?
bekommen(2)	Was bekommen Sie?	What do you get?
bekommen(3)	Dieses Medikament bekommen Sie in der Apotheke.	You can get this medication at the pharmacy.
benutzen	Die Aufzüge bitte nicht benutzen!	Please do not use the elevators.
der Beruf, -e	Was sind Sie von Beruf?	What is your profession?
der Beruf, -e	Was ist Ihr Beruf?	What is your job?
besetzt(1)	Die Nummer ist immer besetzt.	The number is always busy.
besetzt(2)	Der Platz ist besetzt.	The seat is occupied.
besichtigen	Ich möchte gern den Dom besichtigen.	I would like to visit the cathedral.
besser(1)	Es geht mir schon besser.	I’m already feeling better.
best-(1)	Am besten treffen wir uns morgen.	It’s best if we meet tomorrow.
bestellen(1)	Wir möchten bestellen, bitte.	We would like to order, please.
bestellen(2)	Dieses Buch haben wir nicht – sollen wir es für Sie bestellen?	We don't have this book – should we order it for you?
besuchen	Darf ich dich besuchen?	May I visit you?
das Bett, -en	Wir brauchen noch ein Kinderbett.	We need an extra crib.
bezahlen	Wo muss ich bezahlen?	Where do I need to pay?
das Bier	Noch ein Bier bitte.	Another beer, please.
das Bild, -er	Hast du ein Bild von deinem Sohn?	Do you have a picture of your son?
billig(1)	Die Jacke kostet nur 10 Euro!	The jacket costs only 10 euros!
billig(2)	Die ist aber billig!	It’s really cheap!
die Birne, -n	Ein Kilo Birnen, bitte!	A kilo of pears, please!
bis(1)	Ich fahre nur bis Stuttgart.	I only travel as far as Stuttgart.
bis(2)	Ich warte bis morgen.	I will wait until tomorrow.
bisschen	Ich spreche Englisch, Französisch und ein bisschen Deutsch.	I speak English, French, and a little German.
bitte(1)	Eine Tasse Kaffee, bitte!	A cup of coffee, please!
bitte(2)	Sprechen Sie bitte leise!	Please speak quietly!
die Bitte, -n	Ich habe noch eine Bitte.	I have one more request.
bitten	Darf ich Sie um etwas bitten?	May I ask you for something?
bitter	Der Kaffee schmeckt bitter.	The coffee tastes bitter.
bleiben(1)	Ich bleibe heute zu Hause.	I am staying home today.
bleiben(2)	Wir bleiben nur bis morgen.	We are staying only until tomorrow.
der Bleistift, -e	Hast du einen Bleistift?	Do you have a pencil?
der Blick	Von diesem Hotel hat man einen guten Blick auf den Rhein.	From this hotel, you have a good view of the Rhine.
die Blume, -n	Gefallen dir die Blumen?	Do you like the flowers?
der Bogen	Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.	Please write your answers on the answer sheet.
böse	Sie ist böse auf mich.	She is angry with me.
brauchen	Brauchst du die Zeitung noch?	Do you still need the newspaper?
breit	Wie breit ist der Schrank?	How wide is the cupboard?
der Brief, -e	Haben Sie einen Brief für mich?	Do you have a letter for me?
die Briefmarke, -n	Kaufst du bitte Briefmarken bei der Post.	Please buy stamps at the post office.
bringen(1)	Bringen Sie mir bitte noch einen Kaffee!	Please bring me another coffee!
bringen(2)	Wir müssen ihn zum Arzt bringen.	We need to take him to the doctor.
das Brot, -e(1) 	Haben Sie auch Weißbrot?	Do you also have white bread?
das Brot, -e(2) 	Nimm noch ein paar Brote für die Fahrt mit.	Take a few loaves of bread for the trip.
das Brötchen	Möchtest du Brötchen zum Frühstück?	Do you want rolls for breakfast?
der Bruder, -ü	Sein Bruder arbeitet auch hier.	His brother also works here.
das Buch, -ü, er(1)	Gute Bücher sind oft sehr teuer.	Good books are often very expensive.
das Buch, -ü, er(2)	In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.	In this dictionary, you’ll find more than 20,000 words.
der Buchstabe, -n	Diesen Buchstaben gibt es in meiner Sprache nicht.	This letter doesn’t exist in my language.
buchstabieren	Bitte buchstabieren Sie Ihren Namen.	Please spell your name.
der Bus, -se	Wann kommt der nächste Bus?	When is the next bus coming?
die Butter	Für mich bitte ein Brötchen mit Butter und Käse.	For me, a roll with butter and cheese, please.
das Café, -s	Sollen wir uns im Café treffen?	Shall we meet at the café?
die CD, -s	Bring bitte deine Lieblings-CD mit.	Please bring your favorite CD.
der Chef	Wir haben eine neue Chefin.	We have a new female boss.
circa/ca.	Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.	From Mainz to Frankfurt is approximately fifty kilometers.
der Computer	Wann bekommst du deinen neuen Computer?	When will you get your new computer?
da(1)	Da hinten ist er ja.	There he is over there.
da(2)	Wir sprechen gerade über Paul. Da kommt er ja gerade.	We’re talking about Paul. There he comes.
da(3)	Ich nehme das da.	I'll take that one there.
da(4)	Ist Herr Klein schon da?	Is Mr. Klein already here?
die Dame, -n(1)	Damen (an der Toilette)	Ladies (at the toilet)
die Dame, -n(2)	Sehr geehrte Damen und Herren!	Dear ladies and gentlemen!
daneben	Du kennst doch die Post. Daneben ist die Bank.	You know the post office. Next to it is the bank.
danken	Ich danke Ihnen für die Einladung.	Thank you for the invitation.
der Dank(1)	Vielen Dank!	Many thanks!
der Dank(2)	Herzlichen Dank!	Heartfelt thanks!
danke	Soll ich Ihnen helfen? - Nein, danke!	Should I help you? - No, thank you!
dann	Ich muss noch schnell zur Post, dann komme ich.	I need to quickly go to the post office, then I'll come.
das Datum	Bitte schreiben Sie noch das Datum auf das Formular.	Please also write the date on the form.
dauern	Wie lange dauert der Film?	How long does the movie last?
dein-(1)	Ist das dein Auto?	Is that your car?
dein-(2)	Ist das deins?	Is that yours?
denn	Ich kann nicht kommen, denn ich bin krank.	I can’t come because I’m sick.
der, die, das(1)	Ich nehme das da.	I’ll take that one there.
der, die, das(2)	Hier ist der Brief, den du suchst.	Here is the letter you’re looking for.
der, die, das(3)	Die Fahrkarte bekommst du am Bahnhof.	You get the ticket at the station.
dich	Die Blumen sind für dich.	The flowers are for you.
dies-(1)	Ich nehme lieber diesen Kuchen.	I’d prefer to take this cake.
dir	Gefallen dir die Blumen?	Do you like the flowers?
die Disco	Heute Abend gehen wir in die Disco tanzen.	Tonight, we’re going to dance at the disco.
der Doktor	Meine Tochter ist krank. Wir gehen zum Doktor.	My daughter is sick. We’re going to the doctor.
das Doppelzimmer	Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?	Would you like a double room or a single room?
das Dorf, -ö, er	Meine Familie lebt in einem Dorf.	My family lives in a village.
dort, -her, -hin(1)	Deine Tasche kannst du dorthin stellen.	You can place your bag over there.
dort, -her, -hin(2)	Dort ist unser Haus.	There is our house.
draußen	Wollen wir draußen sitzen?	Do we want to sit outside?
drucken	Bitte drucke das Formular für mich.	Please print the form for me.
der Drucker	Mein Drucker ist kaputt.	My printer is broken.
drücken	Drück hier, dann geht der Computer an.	Press here, then the computer will turn on.
durch	Am besten gehen Sie durch die Breite Straße.	It’s best to go through Breite Street.
die Durchsage, -n	Ich habe die Durchsage nicht verstanden.	I didn’t understand the announcement.
dürfen(1)	Sie dürfen hier nicht rauchen.	You’re not allowed to smoke here.
dürfen(2)	Darf ich Sie zu einem Kaffee einladen?	May I invite you to a coffee?
dürfen(3)	Es darf nicht mehr als 15 Euro kosten.	It must not cost more than 15 euros.
der Durst	Hast du etwas zu trinken? Ich habe großen Durst.	Do you have something to drink? I’m very thirsty.
(sich) duschen	Ich bade nicht so gern, ich dusche lieber.	I don’t like bathing much; I prefer showering.
die Dusche	Unsere Wohnung hat nur eine Dusche.	Our apartment only has a shower.
die Ecke, -n	An der nächsten Ecke links.	Turn left at the next corner.
die Ehefrau, -en/der Ehemann, -ä, er	Das ist mein (Ehe-) Mann/meine (Ehe-) Frau.	This is my (married) man/my (married) woman.
das Ei, -er	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?
eilig	Hast du es eilig?	Are you in a hurry?
ein-(1)	Ich nehme ein Bier. Willst du auch eins?	I'll have a beer. Do you want one too?
ein-(2)	Ist hier einer, der das kann?	Is there someone here who can do that?
einfach(1)	Die Prüfung ist ganz einfach.	The exam is very simple.
einfach(2)	Hin und zurück? – Nein, bitte nur einfach.	Round trip? – No, just one way, please.
einfach(3)	Ich brauche nur ein einfaches Zimmer.	I only need a simple room.
der Eingang	Der Eingang ist um die Ecke.	The entrance is around the corner.
einkaufen	Ich muss noch für morgen einkaufen.	I still need to shop for tomorrow.
einladen	Darf ich Sie zu einem Kaffee einladen?	May I invite you for a coffee?
die Einladung	Danke für die Einladung!	Thank you for the invitation!
einmal	Diese Prüfung mache ich nicht noch einmal.	I won't take this exam again.
einsteigen	Schnell, steig ein, der Zug fährt gleich.	Quick, get in, the train is leaving soon.
der Eintritt	Der Preis für den Eintritt ist 5 Euro.	The entrance fee is 5 euros.
das Einzelzimmer	Haben Sie noch ein Einzelzimmer?	Do you have a single room available?
die Eltern (pl.)	Meine Eltern leben in Spanien.	My parents live in Spain.
die E-Mail, -s	Ich habe Ihre E-Mail nicht bekommen.	I didn’t receive your email.
der Empfänger, –	Auf dem Brief steht dein Name, also bist du der Empfänger.	Your name is on the letter, so you are the recipient.
empfehlen	Welchen Wein können Sie mir empfehlen?	Which wine can you recommend to me?
enden	Die Straße endet hier.	The street ends here.
das Ende(1)	Sie wohnt am Ende der Straße.	She lives at the end of the street.
das Ende(2)	Er bekommt sein Geld am Ende des Monats.	He gets his money at the end of the month.
entschuldigen	Entschuldigen Sie bitte!	Please excuse me!
die Entschuldigung	Entschuldigung! – Bitte.	Apologies! – Please.
er	Er heißt Ali.	His name is Ali.
das Ergebnis, -se	Das Ergebnis des Tests bekommen Sie in zwei Wochen.	You will receive the test results in two weeks.
erklären	Kannst du mir das erklären?	Can you explain that to me?
erlauben	Rauchen ist hier nicht erlaubt.	Smoking is not allowed here.
der Erwachsene, -n	Dieser Film ist nur für Erwachsene.	This movie is for adults only.
erzählen	Wir müssen euch etwas erzählen!	We need to tell you something!
es	Es regnet.	It is raining.
essen	Was gibt es zu essen?	What is there to eat?
das Essen	Das Essen ist heute sehr gut.	The food is very good today.
euer	Euer Kurs beginnt heute.	Your course starts today.
fahren	Ich fahre mit dem Auto zur Arbeit.	I drive to work by car.
der Fahrer	Bitte nicht mit dem Fahrer sprechen!	Please do not speak with the driver!
die Fahrkarte, -n	Hast du schon eine Fahrkarte?	Do you already have a ticket?
das Fahrrad, -ä, er	Fährst du mit dem Fahrrad oder mit dem Auto?	Do you ride a bicycle or drive a car?
falsch	Das ist falsch.	That is incorrect.
die Familie, -n	Meine Familie lebt in Spanien.	My family lives in Spain.
der Familienname	Meine Familiennamen sind García González.	My family names are García González.
der Familienstand	Bei Familienstand musst du ledig ankreuzen.	For marital status, you need to check single.
die Farbe, -n	Die Farbe gefällt mir gut.	I like the color.
das Fax, -e	Schicken Sie uns einfach ein Fax!	Just send us a fax!
Feier-(1)	z. B. Feierabend, Feiertag	For example, end of work, public holiday
Feier-(2)	Am Montag ist Feiertag.	On Monday is a public holiday.
feiern	Wir feiern heute meinen Geburtstag.	We are celebrating my birthday today.
fehlen(1)	Herr Müller ist nicht da, er fehlt schon seit drei Tagen.	Mr. Müller is not here; he has been missing for three days.
fehlen(2)	Was fehlt Ihnen?	What is missing?
der Fehler, –	Diesen Fehler mache ich immer.	I always make this mistake.
fernsehen	Wollen wir heute Abend mal fernsehen?	Shall we watch TV tonight?
fertig(1)	Bist du fertig?	Are you ready?
fertig(2)	Ist mein Auto schon fertig?	Is my car ready yet?
das Feuer	Haben Sie Feuer?	Do you have a light?
das Fieber	Mein Mann hat noch immer Fieber.	My husband still has a fever.
der Film, -e	Ich möchte gern diesen Film sehen.	I would like to see this film.
finden	Wir müssen den Schlüssel finden.	We need to find the key.
die Firma	Er arbeitet jetzt bei einer anderen Firma.	He now works at another company.
der Fisch, -e	Ich esse gern Fisch. Fleisch mag ich nicht.	I like to eat fish. I don’t like meat.
die Flasche, -n	Eine Flasche Bier, bitte.	A bottle of beer, please.
das Fleisch	Fleisch mag ich nicht.	I don’t like meat.
fliegen	Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.	I don’t like flying. That’s why I take the train.
abfliegen	Wann fliegst du ab?	When do you depart?
der Abflug	Der Abflug ist um 11.20 Uhr.	The departure is at 11:20.
der Flughafen	Kannst du mich zum Flughafen bringen?	Can you take me to the airport?
das Flugzeug	Das Flugzeug aus Berlin kommt heute später an.	The plane from Berlin will arrive later today.
das Formular, -e	Sie müssen dieses Formular ausfüllen.	You need to fill out this form.
das Foto, -s	Darf ich ein Foto machen?	May I take a photo?
fragen	Er möchte Sie etwas fragen. Wann kommen Sie?	He would like to ask you something. When are you coming?
die Frage, -n	Ich habe eine Frage.	I have a question.
die Frau, -en(1)	Das ist Frau Becker.	This is Mrs. Becker.
die Frau, -en(2)	Guten Tag, Frau Schmitt!	Good day, Mrs. Schmitt!
die Frau, -en(3)	Hier arbeiten mehr Frauen als Männer.	More women than men work here.
frei	Ist der Platz noch frei?	Is the seat still free?
die Freizeit	In meiner Freizeit spiele ich oft Fußball.	In my free time, I often play soccer.
fremd	Das weiß ich nicht; ich bin fremd hier.	I don’t know; I’m a stranger here.
(sich) freuen	Ich freue mich auf den Urlaub.	I am looking forward to the vacation.
der Freund, -e(1)	Das ist ein Freund von mir.	This is a friend of mine.
der Freund, -e(2)	Das ist meine Freundin.	This is my girlfriend.
früher	Früher waren wir oft zusammen im Kino.	We used to go to the movies together often.
frühstücken	Am Sonntag frühstücke ich gern im Bett.	On Sundays, I like to have breakfast in bed.
das Frühstück	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?
die Führung	Die Führung durch das Haus beginnt in 3 Minuten.	The tour of the house begins in 3 minutes.
für	Das ist für Sie.	This is for you.
für(2)	Das ist der Schlüssel für die Haustür.	This is the key for the front door.
für(3)	Das ist das Brot für morgen.	This is the bread for tomorrow.
der Fuß, -ü, e	Der linke Fuß tut mir weh.	My left foot hurts.
der Fußball	Spielt ihr gerne Fußball?	Do you like to play soccer?
der Garten	Wir haben leider keinen Garten.	Unfortunately, we don't have a garden.
der Gast, -ä, e	Am Wochenende haben wir mehrere Gäste.	We have several guests over the weekend.
geben(1)	Kannst du mir bitte deinen Kugelschreiber geben?	Can you please give me your pen?
geben(2)	Es gibt keine Karten mehr.	There are no more tickets available.
geboren	Ich bin in Zagreb geboren.	I was born in Zagreb.
das Geburtsjahr	Das Geburtsjahr Ihres Sohnes, bitte?	Your son's year of birth, please?
der Geburtsort	Bitte schreiben Sie Ihren Geburtsort auf das Formular.	Please write your place of birth on the form.
der Geburtstag	Herzlichen Glückwunsch zum Geburtstag!	Happy birthday!
gefallen	Das gefällt mir.	I like that.
gegen(1)	Fahr nicht gegen den Baum!	Don’t drive into the tree!
gegen(2)	Ich bin gegen diese Lösung.	I am against this solution.
gegen(3)	Wer spielt gegen wen?	Who is playing against whom?
gehen(1)	Ich weiß nicht, wie das geht.	I don’t know how it works.
gehen(2)	Wie geht‘s?	How are you?
gehen(3)	Jetzt muss ich (aber) leider gehen.	Now I have to (unfortunately) leave.
gehen(4)	Ich muss zum Arzt gehen.	I need to go to the doctor.
gehen(5)	Das geht nicht!	That doesn’t work!
gehören	Wem gehört das?	Whose is this?
das Geld	Hast du noch Geld?	Do you still have money?
das Gemüse	Gemüse brauchen wir auch noch.	We also need vegetables.
das Gepäck	Wollen Sie Ihr Gepäck mitnehmen?	Do you want to take your luggage with you?
gerade(1)	Da kommt er ja gerade.	There he comes just now.
gerade(2)	Gehen Sie immer geradeaus!	Always go straight ahead!
gern(e)	Ich gehe gerne einkaufen.	I like to go shopping.
das Geschäft, -e	Die Geschäfte schließen um 18.30 Uhr.	The stores close at 6:30 PM.
das Geschenk, -e	Danke für das schöne Geschenk.	Thank you for the lovely gift.
die Geschwister (pl.)	Ich habe leider keine Geschwister.	Unfortunately, I have no siblings.
das Gespräch, -e	Das Gespräch mit Frau Kunz ist um 14 Uhr.	The conversation with Ms. Kunz is at 2 PM.
gestern	Gestern war ich krank.	I was sick yesterday.
gestorben	Meine Frau ist gestern gestorben.	My wife passed away yesterday.
das Getränk, -e	Mein Lieblingsgetränk ist Tomatensaft.	My favorite drink is tomato juice.
das Gewicht	Bei Gewicht schreibst du: 62 Kilo.	For weight, write: 62 kilos.
gewinnen	Wer gewinnt das Spiel?	Who wins the game?
das Glas, -ä, er	Bitte noch ein Glas Wein!	Please another glass of wine!
das Glas, -ä, er	Wir brauchen noch drei Gläser.	We need three more glasses.
glauben(1)	Sie können mir glauben, es ist so.	You can believe me, it is so.
glauben(2)	Ich glaube, er kommt gleich.	I think he is coming soon.
gleich(1)	Das ist mir gleich.	It doesn’t matter to me.
gleich(2)	Das ist der gleiche Preis.	That is the same price.
gleich(3)	Ich komme gleich.	I’ll be right there.
das Gleis, -e	Der ICE nach Berlin hält heute an Gleis 12.	The ICE to Berlin stops at platform 12 today.
das Glück	Viel Glück!	Good luck!
glücklich	Meine Kinder sind glücklich verheiratet.	My children are happily married.
der Glückwunsch	Herzlichen Glückwunsch zum Geburtstag.	Happy birthday!
Grad (Celsius)	Heute haben wir dreißig Grad.	Today we have thirty degrees.
gratulieren	Ich gratuliere dir!	I congratulate you!
grillen	Heute grillen wir im Garten.	Today we are grilling in the garden.
groß(1)	Mein Bruder und ich sind gleich groß.	My brother and I are the same height.
groß(2)	Frankfurt ist eine große Stadt.	Frankfurt is a big city.
die Größe	Haben Sie das auch in Größe 40?	Do you have this in size 40?
die Großeltern (pl.)	Meine Großeltern leben in Japan.	My grandparents live in Japan.
die Großmutter	Meine Großmutter heißt Eva.	My grandmother's name is Eva.
der Großvater	Mein Großvater ist schon 80.	My grandfather is already 80.
die Gruppe, -n	Die erste Gruppe beginnt um 16 Uhr.	The first group starts at 4 PM.
der Gruß, -ü, e(1)	Viele Grüße an Ihre Frau.	Best regards to your wife.
der Gruß, -ü, e(2)	Mit freundlichen Grüßen	With kind regards
gültig	Der Pass ist nicht mehr gültig.	The passport is no longer valid.
günstig	Dort gibt es günstige Angebote.	There are good deals there.
gut(1)	Das finde ich gut.	I think that’s good.
gut(2)	Ich komme um 13 Uhr. – Gut!	I’ll come at 1 PM. – Good!
gut(3)	Guten Morgen!	Good morning!
gut(4)	Ein gutes neues Jahr!	A good new year!
gut(5)	Guten Appetit!	Enjoy your meal!
das Haar, -e	Sie hat lange Haare.	She has long hair.
haben	Ich habe ein neues Auto.	I have a new car.
das Hähnchen, -	Ein Hähnchen mit Pommes bitte!	A chicken with fries, please!
die Halbpension	Möchten Sie Vollpension oder Halbpension?	Would you like full board or half board?
die Halle	Wir treffen uns in Halle B.	We are meeting in Hall B.
hallo	Hallo Inge! Wie geht’s?	Hello Inge! How are you?
halten	Dieser Zug hält nicht in Rüdesheim.	This train does not stop in Rüdesheim.
die Haltestelle	An der nächsten Haltestelle müssen Sie aussteigen.	At the next stop, you need to get off.
die Hand, -ä, e	Er gibt mir die Hand.	He shakes my hand.
das Handy, -s	In der Schule bitte die Handys ausmachen!	Please turn off the mobile phones at school!
das Haus, -ä, er(1)	In welchem Haus wohnst du?	In which house do you live?
das Haus, -ä, er(2)	Ich gehe jetzt nach Hause.	I’m going home now.
das Haus, -ä, er(3)	Paul ist nicht zu Hause.	Paul is not at home.
die Hausaufgabe, -n	Kannst du mir bei den Hausaufgaben helfen?	Can you help me with the homework?
