german word	german sentence	english translation
zurzeit(1)	Zurzeit habe ich sehr viel zu tun.	At the moment, I have a lot to do.
die Zeitschrift, -en(1)	Diese Zeitschrift kaufe ich jede Woche.	I buy this magazine every week.
die Zeitung, -en(1)	Ich lese manchmal Zeitung.	I sometimes read the newspaper.
das Zelt, -e(1)	Wir machen Camping-Urlaub und nehmen ein Zelt mit.	We are going camping and bringing a tent.
zelten, zeltet, zeltete, hat gezeltet(1)	Ich habe noch nie gezeltet.	I have never been camping.
zentral(1)	Wir suchen eine Zweizimmerwohnung in zentraler Lage.	We are looking for a two-room apartment in a central location.
das Zentrum, Zentren(1)	Im Zentrum gibt es fast keine Parkplätze.	In the center, there are almost no parking spaces.
das Zentrum, Zentren(2)	Es gibt ein neues Zentrum mit vielen Geschäften. Es wird am Samstag eröffnet.	There is a new center with many shops. It will open on Saturday.
zerstören, zerstört, zerstörte, hat zerstört(1)	Der Sturm hat viele Häuser zerstört.	The storm destroyed many houses.
das Zertifikat, -e(1)	Wenn ich die Prüfung schaffe, bekomme ich ein Zertifikat.	If I pass the exam, I will receive a certificate.
der Zettel, - (1)	Hast du einen Zettel für mich? Ich muss etwas aufschreiben.	Do you have a piece of paper for me? I need to write something down.
das Zeug/-zeug(1)	Was hast du mit meinen Sachen gemacht? – Ich habe dein ganzes Zeug in dein Zimmer getan.	What did you do with my things? – I put all your stuff in your room.
die Zinsen (nur Pl.)(1)	Wie viele Zinsen bekomme ich für mein Sparkonto?	How much interest do I get for my savings account?
der Zirkus, -se(1)	Heute gehen wir mit den Kindern in den Zirkus.	Today we are going to the circus with the kids.
die Zitrone, -n(1)	Ich hätte gern einen Tee mit Zitrone.	I would like a tea with lemon.
der Zivilstand (CH) → Personenstand; D, A: Familienstand(1)	Bei „Zivilstand“ musst du „ledig“ ankreuzen.	For civil status, you must check single.
der Zoll, ¨-e(1)	Das war die Passkontrolle. Wir müssen jetzt noch durch den Zoll.	That was the passport control. We still need to go through customs.
die Zone, -n(1)	Hier können wir nicht fahren. Das ist eine Fußgängerzone.	We cannot drive here. This is a pedestrian zone.
der Zoo, -s(1)	Am Sonntag gehen wir mit den Kindern in den Zoo.	On Sunday, we are going to the zoo with the kids.
zu(1)	Wie viele Zinsen bekomme ich für mein Sparkonto?	How much interest do I get for my savings account?
zu(2)	Wann sind Sie zu Hause?	When are you home?
zu(3)	Am besten gehen Sie zu Fuß.	It’s best to go on foot.
zu(4)	Gehen Ihre Kinder schon/noch zur Schule?	Do your children already go to school?
zu(5)	Das Kleid ist mir zu teuer.	The dress is too expensive for me.
zu(6)	Bitte zwanzig Briefmarken zu 55 Cent.	Please twenty stamps at 55 cents each.
zu(7)	Ich trinke zum Essen ein Bier.	I drink a beer with my meal.
zu(8)	Unsere Mannschaft hat 2 zu 1 gewonnen.	Our team won 2 to 1.
zu(9)	Ich habe vor, mir ein neues Auto zu kaufen.	I plan to buy a new car.
zu(10)	Hast du etwas zu trinken für mich?	Do you have something to drink for me?
der Zeuge, -n(1)	Die Polizei sucht noch Zeugen für den Unfall.	The police are still looking for witnesses to the accident.
die Zeugin, -nen(1)	Die Polizei sucht noch Zeugen für den Unfall.	The police are still looking for witnesses to the accident.
zubereiten, bereitet zu, bereitete zu, hat zubereitet(1)	Sie bereitet das Fleisch mit Kartoffeln zu.	She prepares the meat with potatoes.
der Zucker(1)	Nehmen Sie Zucker in den Tee?	Do you take sugar in your tea?
zuerst(1)	Wer war zuerst? – Der Herr hier.	Who was first? – The gentleman here.
zuerst(2)	Zuerst gibt es Mittagessen. Dann könnt ihr Schokolade essen.	First, we will have lunch. Then you can eat chocolate.
zuerst(3)	Zuerst hat mir die Arbeit gar nicht gefallen. Jetzt geht es besser.	At first, I didn’t like the job at all. Now it’s better.
der Zufall, ¨-e(1)	So ein Zufall, dass ich dich hier treffe.	What a coincidence that I meet you here.
der Zufall, ¨-e(2)	Durch Zufall habe ich gehört, dass die Wohnung frei ist.	By chance, I heard that the apartment is available.
zufällig(1)	Wir haben uns zufällig am Bahnhof getroffen.	We met by chance at the station.
zufällig(2)	Hast du zufällig meine Brille gesehen?	Did you happen to see my glasses?
zufrieden(1)	Meine Kinder haben heute Zeugnisse bekommen und sind sehr zufrieden.	My children received their report cards today and are very satisfied.
die Zünder (A) (Pl.) → Streichholz; Zündholz(1)	Ich hätte gern eine Schachtel Zünder.	I would like a box of matches.
das Zündholz, ¨-er → Streichholz; A: Zünder(1)	Ich hätte gern eine Schachtel Zündhölzer.	I would like a box of matches.
zunehmen, nimmt zu, nahm zu, hat zugenommen(1)	Ich habe im Urlaub 1 Kilo zugenommen.	I gained 1 kilo during the vacation.
zurechtkommen, kommt zurecht, kam zurecht, ist zurechtgekommen(1)	Soll ich Ihnen helfen? - Danke. Ich komme allein zurecht.	Should I help you? - No, thanks. I can manage on my own.
der Zugang, ¨-e(1)	Der Zugang zu diesem Haus ist schwierig.	Access to this house is difficult.
der Zugang, ¨-e(2)	Hast du Zugang zum Internet?	Do you have access to the internet?
zugänglich(1)	Der Park ist für alle zugänglich.	The park is accessible to everyone.
der Zug, ¨-e(1)	Unser Zug hatte 40 Minuten Verspätung.	Our train was delayed by 40 minutes.
der Zug, ¨-e(2)	Ich fahre gern mit dem Zug.	I like traveling by train.
zugehen, geht zu, ging zu, ist zugegangen(1)	Die Tür geht nicht zu. Kannst du mir helfen?	The door doesn’t close. Can you help me?
das Zuhause(1)	Ich fühle mich hier wohl. Das ist mein Zuhause.	I feel comfortable here. This is my home.
zuhören, hört zu, hörte zu, hat zugehört(1)	Hör mir doch mal zu!	Please listen to me!
der Zuhörer, - (1)	Liebe Zuhörerinnen und Zuhörer, Ihre Meinung interessiert uns. Bitte rufen Sie an!	Dear listeners, we are interested in your opinion. Please call us!
die Zuhörerin, -nen(1)	Liebe Zuhörerinnen und Zuhörer, Ihre Meinung interessiert uns. Bitte rufen Sie an!	Dear listeners, we are interested in your opinion. Please call us!
die Zukunft(1)	Du musst mehr für die Schule lernen. Denk an die Zukunft.	You need to study more for school. Think about the future.
die Zukunft(2)	In Zukunft werde ich vorsichtiger sein.	In the future, I will be more careful.
zukünftig(1)	Ich bitte dich, zukünftig früher zu kommen.	I ask you to come earlier in the future.
zuletzt(1)	Die Kleider packen wir zuletzt ein.	We will pack the clothes last.
zuletzt(2)	Wir haben uns vor drei Jahren zuletzt gesehen.	We last saw each other three years ago.
zumachen, macht zu, machte zu, hat zugemacht(1)	Mach bitte die Tür zu!	Please close the door!
zumindest(1)	Ich möchte nicht in der Stadt wohnen, zumindest jetzt nicht, wenn die Kinder noch so klein sind.	I don’t want to live in the city, at least not now, while the children are still so young.
zunächst(1)	Zunächst möchte ich alle begrüßen!	First, I would like to greet everyone!
zurück/zurück-(1)	Bitte eine Fahrkarte nach Frankfurt und zurück!	Please a ticket to Frankfurt and back!
zurück/zurück-(2)	Wann wirst du zurückkommen?	When will you come back?
zurück/zurück-(3)	Wann muss ich das Buch zurückgeben?	When do I have to return the book?
zurzeit(1)	Zurzeit ist kein Zimmer frei.	Currently, no rooms are available.
zusagen, sagt zu, sagte zu, hat zugesagt(1)	Meine Eltern haben uns zum Essen eingeladen. Ich habe zugesagt.	My parents invited us for dinner. I accepted.
zusammen/zusammen-(1)	Wir haben als Kinder oft zusammen gespielt.	We used to play together a lot as children.
zusammen/zusammen-(2)	Zahlen bitte. - Zusammen oder getrennt?	The bill, please. - Together or separate?
zusammen/zusammen-(3)	Das macht zusammen 10 Euro 80.	That totals 10 euros 80 cents.
zusammen/zusammen-(4)	Fuß und Ball musst du zusammen schreiben – Fußball!	You need to write foot and ball together – football!
die Zusammenarbeit(1)	Sie sind der neue Kollege? Auf gute Zusammenarbeit!	You are the new colleague? To good cooperation!
zusammenfassen, fasst zusammen, fasste zusammen, hat zusammengefasst(1)	Können Sie das bitte noch einmal kurz zusammenfassen?	Can you please summarize that briefly once more?
der Zusammenhang, ¨-e(1)	In diesem Zusammenhang möchte ich Sie auf zwei Bücher aufmerksam machen.	In this context, I would like to draw your attention to two books.
der Zusammenhang, ¨-e(2)	Was ist der Zusammenhang zwischen diesen beiden Themen?	What is the connection between these two topics?
zusätzlich(1)	Sie müssen in Zukunft eine Stunde zusätzlich arbeiten.	In the future, you will have to work an additional hour.
zuschauen, schaut zu, schaute zu, hat zugeschaut(1)	Willst du mitspielen? – Nein, ich schaue lieber nur zu.	Do you want to join? - No, I’d rather just watch.
der Zuschauer, - (1)	Liebe Zuschauer, wir wünschen Ihnen gute Unterhaltung.	Dear viewers, we wish you good entertainment.
der Zuschauer, - (2)	Liebe Zuschauer, wir wünschen Ihnen gute Unterhaltung.	Dear viewers, we wish you good entertainment.
der Zuschlag, ¨-e(1)	Für diesen Zug müssen Sie einen Zuschlag zahlen.	For this train, you need to pay a surcharge.
zu sein, ist zu, war zu, ist zu gewesen(1)	Am Sonntag sind die meisten Läden zu.	On Sunday, most shops are closed.
zu sein, ist zu, war zu, ist zu gewesen(2)	Das Fenster war nicht zu.	The window was not closed.
der Zustand, ¨-e(1)	Als wir in die Wohnung eingezogen sind, war sie in sehr schlechtem Zustand.	When we moved into the apartment, it was in very poor condition.
zuständig(1)	Wir haben ein Problem mit der Heizung. Wer ist dafür zuständig?	We have a problem with the heating. Who is responsible for it?
zustimmen, stimmt zu, stimmte zu, hat zugestimmt(1)	Ich stimme dir in dieser Sache völlig zu.	I completely agree with you on this matter.
zustimmen, stimmt zu, stimmte zu, hat zugestimmt(2)	Er nickt zustimmend.	He nods in agreement.
die Zustimmung, -en(1)	Wir brauchen Ihre Zustimmung, um Ihnen Werbung zu schicken.	We need your approval to send you advertisements.
die Zutaten (Pl.)(1)	Welche Zutaten braucht man für diesen Kuchen?	What ingredients are needed for this cake?
zuverlässig(1)	Der Kollege kommt bestimmt gleich. Er ist immer sehr zuverlässig.	The colleague will definitely come soon. He is always very reliable.
das/der Zvieri/Znüni, -s (CH) → D: Imbiss; A: Jause(1)	Es ist Zeit für ein kleines Zvieri.	It’s time for a small snack.
zwar(1)	Diese Schuhe sind zwar teuer, aber gut.	These shoes are expensive, but good.
zwar(2)	Ich kriege jetzt doch eine Woche Urlaub, und zwar nächsten Monat.	I’m getting a week of vacation after all, specifically next month.
der Zweck, -e(1)	Ich glaube, es hat keinen Zweck, sich zu bewerben. Der Job ist sicher schon weg.	I think it’s pointless to apply. The job is probably already taken.
zweifeln, zweifelt, zweifelte, hat gezweifelt(1)	Ich zweifle nicht daran, dass Sie recht haben.	I have no doubt that you are right.
der Zweifel, - (1)	Da ist ohne Zweifel die beste Lösung.	That is undoubtedly the best solution.
der Zweifel, - (2)	Allmählich bekomme ich Zweifel daran.	I am gradually having doubts about it.
die Zwiebel, -n(1)	Eine Zwiebel in kleine Stücke schneiden und zusammen mit dem Fleisch braten.	Cut an onion into small pieces and fry it together with the meat.
(sich) zwingen, zwingt, zwang, hat gezwungen(1)	Bitte zwing mich nicht etwas zu essen. Ich bin wirklich nicht hungrig.	Please don’t force me to eat. I’m really not hungry.
(sich) zwingen, zwingt, zwang, hat gezwungen(2)	Das schlechte Wetter zwang uns umzukehren.	The bad weather forced us to turn back.
zwischen(1)	Das Regal stellen wir zwischen die beiden Schränke.	We will place the shelf between the two cabinets.
zwischen(2)	Heidelberg liegt zwischen Frankfurt und Stuttgart.	Heidelberg is located between Frankfurt and Stuttgart.
zwischen(3)	Zwischen 8 und 10 Uhr bin ich zu Hause.	Between 8 and 10 a.m., I am at home.
